cycle,branch,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2022,Governor,WY-G1,8/2/22,_lite,Theresa A. Livingston,"","","","",Mark Gordon,"","","","",.002175,0,0,0,.997825,0,0,0,0,0,.002175,.997825,.0008,.3914891,161445,196875.3,126886.6,29.69395,0,0,0,0,70.30605,0,0,0,0,0,0,37.38998,78.04852,0,0,0,0,0,0,0,0,21.95148,62.61002,0,0,0,0,0,0,-49.87335,424412,-40.61209,-25.22003,-56.09705,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,WI-G1,8/2/22,_lite,Tony Evers,"","","",Joan Ellis Beglinger,Rebecca Kleefisch,"","","","",.692975,0,0,0,.307025,0,0,0,0,0,.692975,.307025,.0468375,1.590317,2326829,2716034,1940320,51.36067,0,0,0,1.768249,46.87108,0,0,0,0,3.63075,0,57.30101,52.81592,0,0,0,0,0,0,.3684885,0,45.41048,40.93162,0,0,0,0,0,0,-3.823667,4351464,4.489586,16.15989,-7.238947,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,VT-G1,8/2/22,_lite,Brenda Siegel,"","","",Susan Hatch Davis,Phil Scott,"","","","",.068,0,0,0,.931925,0,0,0,.000075,0,.068,.931925,.0205375,6.798579,238662.3,282433.2,195292.2,37.10333,0,0,0,5.869909,57.02676,0,0,0,0,10.19862,0,45.9211,65.70048,0,0,0,0,0,0,2.236262,0,28.40813,48.22879,0,0,0,0,0,0,27.77288,503792,-19.92342,-2.935284,-36.6348,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,TX-G1,8/2/22,_lite,Beto O'Rourke,"","","","",Greg Abbott,"","","",all others,.158275,0,0,0,.841725,0,0,0,0,0,.158275,.841725,.084175,.9450811,7036691,8536909,5581317,42.64026,0,0,0,0,49.92987,0,0,0,7.429869,0,12.48573,47.95541,55.22489,0,0,0,0,0,0,0,3.111007,37.20185,44.57642,0,0,0,0,0,0,-12.90963,1.85e+07,-7.289616,2.187366,-16.78626,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,TN-G1,8/2/22,_lite,J.B. Smiley Jr.,"","","","",Bill Lee,"","","",all others,.0098,0,0,0,.9902,0,0,0,0,0,.0098,.9902,.00355,.1612623,1739202,2115422,1362834,28.8628,0,0,0,0,59.37357,0,0,0,11.76363,0,18.13802,37.21721,67.67252,0,0,0,0,0,0,0,6.112748,20.51839,51.00927,0,0,0,0,0,0,-29.21185,4750229,-30.51077,-15.01725,-45.93179,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,SD-G1,8/2/22,_lite,Jamie Smith,"","","",Tracey Quint,Kristi Noem,"","","","",.0097,0,0,0,.990275,0,0,0,.000025,0,.0097,.990275,.0036125,1.016135,280873.5,335008,226338.2,32.87149,0,0,0,3.900762,63.22775,0,0,0,0,7.208506,0,40.78159,71.18363,0,0,0,0,0,0,1.206202,0,24.8054,55.27769,0,0,0,0,0,0,-32.01005,647453,-30.35627,-14.86465,-45.98433,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,SC-G1,8/2/22,_lite,Joe Cunningham,"","","","",Henry McMaster,"","","",all others,.026625,0,0,0,.973375,0,0,0,0,0,.026625,.973375,.0097375,.5189646,1482396,1792485,1173488,34.75912,0,0,0,0,59.18699,0,0,0,6.053883,0,10.56211,42.7685,67.18329,0,0,0,0,0,0,0,2.293841,26.72542,51.13666,0,0,0,0,0,0,-18.29783,3897996,-24.42787,-8.968971,-39.75428,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,RI-G1,8/2/22,_lite,Daniel J. McKee,"","","","",Ashley Kalus,"","","",all others,.8986,0,0,0,.1014,0,0,0,0,0,.8986,.1014,.013325,3.362979,313038.3,377301.9,249764.3,55.67048,0,0,0,0,40.22228,0,0,0,4.107239,0,7.591894,63.68789,48.17841,0,0,0,0,0,0,0,1.286615,47.7003,32.13675,0,0,0,0,0,0,23.66066,794970,15.4482,31.12642,-.1152592,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,PA-G1,8/2/22,_lite,Josh Shapiro,"","","","",Douglas V. Mastriano,"","","",all others,.855825,0,0,0,.144175,0,0,0,0,0,.855825,.144175,.02155,.3746949,4543850,5390191,3729185,52.68734,0,0,0,0,45.15367,0,0,0,2.158988,0,4.296247,57.41238,49.88694,0,0,0,0,0,0,0,.5048875,47.90704,40.42249,0,0,0,0,0,0,-2.976064,9742133,7.533676,16.69443,-1.675611,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,OR-G1,8/2/22,_lite,Tina Kotek,"","","","",Christine Drazan,"","","",all others,.719325,0,0,0,.280675,0,0,0,0,0,.719325,.280675,.0430375,2.140533,1588472,1864090,1321520,46.99142,0,0,0,0,42.22015,0,0,0,10.78843,0,16.88298,53.00369,48.29886,0,0,0,0,0,0,0,5.363849,40.7463,36.08746,0,0,0,0,0,0,10.62213,3113975,4.771271,15.30639,-5.84709,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,OK-G1,8/2/22,_lite,Joy Hofmeister,"","","","",Kevin Stitt,"","","",all others,.020775,0,0,0,.979225,0,0,0,0,0,.020775,.979225,.010825,.7909153,1081315,1312824,853068.9,36.79833,0,0,0,0,56.81487,0,0,0,6.386795,0,11.01572,43.17702,63.14111,0,0,0,0,0,0,0,2.500167,30.30726,50.34124,0,0,0,0,0,0,-36.97133,2842656,-20.01654,-8.01322,-31.91026,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,OH-G1,8/2/22,_lite,Nan Whaley,"","","","",Mike DeWine,"","","","",.075525,0,0,0,.924475,0,0,0,0,0,.075525,.924475,.0362,.722643,3957667,4702371,3225272,43.3461,0,0,0,0,56.6539,0,0,0,0,0,0,49.20198,62.57396,0,0,0,0,0,0,0,0,37.42604,50.79802,0,0,0,0,0,0,-12.10777,8831240,-13.3078,-1.596046,-25.14792,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,NY-G1,8/2/22,_lite,Kathy C. Hochul,"","","","",Lee M. Zeldin,"","","",all others,.98305,0,0,0,.01695,0,0,0,0,0,.98305,.01695,.002525,.0371343,5372051,6451914,4304828,56.86477,0,0,0,0,39.73412,0,0,0,3.401105,0,6.437652,61.96854,44.94474,0,0,0,0,0,0,0,.9663184,51.63854,34.55373,0,0,0,0,0,0,19.93185,1.34e+07,17.13065,26.86592,7.08469,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,NV-G1,8/2/22,_lite,Steve Sisolak,"","","","",Joe Lombardo,"","","",all others,.6164,0,0,0,.3836,0,0,0,0,0,.6164,.3836,.067975,5.999869,895079.9,1068928,724714,49.47332,0,0,0,0,47.50019,0,0,0,3.026487,0,5.844634,54.15757,52.09627,0,0,0,0,0,0,0,.8143635,44.87164,42.76665,0,0,0,0,0,0,-2.531046,2105890,1.973122,10.92427,-6.751368,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,NM-G1,8/2/22,_lite,Michelle Lujan Grisham,"","","",Karen Bedonie,Mark V. Ronchetti,"","","","",.683175,0,0,0,.316775,0,0,0,.00005,0,.683175,.316775,.050175,6.499935,609863.7,732711.1,490946.5,50.63247,0,0,0,2.40213,46.9654,0,0,0,0,4.764959,0,55.8052,52.12205,0,0,0,0,0,0,.5918132,0,45.49367,41.71911,0,0,0,0,0,0,7.143295,1493579,3.667076,13.72368,-6.34515,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,NH-G1,8/2/22,_lite,Tom Sherman,"","","","",Chris Sununu,"","","","",.01075,0,0,0,.98925,0,0,0,0,0,.01075,.98925,.0061375,.9271966,522966.7,616102.5,431651,38.5589,0,0,0,0,61.4411,0,0,0,0,0,0,44.54571,67.37195,0,0,0,0,0,0,0,0,32.62805,55.45429,0,0,0,0,0,0,.5605241,1075858,-22.8822,-10.90858,-34.7439,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,NE-G1,8/2/22,_lite,Carol Blood,"","","",Scott Zimmerman,Jim Pillen,"","","","",.126675,0,0,0,.8733,0,0,0,.000025,0,.126675,.8733,.03825,4.915957,614720.6,731507,501351.6,41.90353,0,0,0,2.695607,55.40086,0,0,0,0,5.273748,0,49.6443,63.21576,0,0,0,0,0,0,.703299,0,34.0364,47.6274,0,0,0,0,0,0,-24.75782,1365541,-13.49733,1.766241,-28.96532,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,MN-G1,8/2/22,_lite,Tim Walz,"","","","",Scott Jensen,"","","",all others,.81345,0,0,0,.18655,0,0,0,0,0,.81345,.18655,.0277875,1.03608,2118901,2479986,1767115,51.1912,0,0,0,0,43.92461,0,0,0,4.884193,0,8.789925,56.78546,49.56152,0,0,0,0,0,0,0,1.697083,45.47404,38.23986,0,0,0,0,0,0,1.988413,4066265,7.26659,17.80186,-3.35541,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,MI-G1,8/2/22,_lite,Gretchen Whitmer,"","","","",Tudor M. Dixon,"","","",all others,.9382,0,0,0,.0618,0,0,0,0,0,.9382,.0618,.008025,.1851711,3423940,4054748,2805301,55.95353,0,0,0,0,41.18377,0,0,0,2.862698,0,5.556434,62.13657,47.42232,0,0,0,0,0,0,0,.7523348,49.6778,34.97849,0,0,0,0,0,0,-1.182822,7501276,14.76976,26.79815,2.609921,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,ME-G1,8/2/22,_lite,Janet T. Mills,"","","",Sam Hunkler,Paul R. LePage,"","","","",.76395,0,0,0,.23595,0,0,0,.0001,0,.76395,.23595,.035775,5.155704,548208.9,643383.6,454305.5,51.97868,0,0,0,2.159539,45.86179,0,0,0,0,4.35695,0,57.68361,51.54881,0,0,0,0,0,0,.503458,0,46.25344,40.13391,0,0,0,0,0,0,4.372984,1088975,6.11689,17.29387,-5.069294,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,MD-G1,8/2/22,_lite,Wes Moore,"","","","",Dan Cox,"","","",all others,.9107,0,0,0,.0893,0,0,0,0,0,.9107,.0893,.0117625,.5136455,1809216,2166200,1458686,56.53341,0,0,0,0,40.04816,0,0,0,3.418436,0,6.487899,64.48831,48.07514,0,0,0,0,0,0,0,.9838352,48.563,32.07924,0,0,0,0,0,0,26.27618,4305056,16.48525,32.05058,.8141613,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
2022,Governor,MA-G1,8/2/22,_lite,Maura Healey,"","","","",Geoff Diehl,"","","",all others,.997575,0,0,0,.002425,0,0,0,0,0,.997575,.002425,.0002375,.0089361,2099754,2519929,1684278,62.04654,0,0,0,0,33.54765,0,0,0,4.405804,0,8.070297,68.20058,39.61192,0,0,0,0,0,0,0,1.428636,55.90895,27.30233,0,0,0,0,0,0,32.67038,4999558,28.49889,40.26387,16.87201,,,,,,,,,,,,,,,,,,,40000,20:53:27  2 Aug 2022
