cycle,branch,expression,forecastdate,chamber_Dparty,chamber_Rparty,mean_seats_Dparty,mean_seats_Rparty,median_seats_Dparty,median_seats_Rparty,p90_seats_Dparty,p90_seats_Rparty,p10_seats_Dparty,p10_seats_Rparty,total_national_turnout,p90_total_national_turnout,p10_total_national_turnout,popvote_margin,p90_popvote_margin,p10_popvote_margin,simulations,timestamp
2022,Senate,_lite,6/30/22,.570675,.429325,50.0699,49.9301,50,50,55,55,45,45,7.62e+07,8.33e+07,6.92e+07,-.4508324,6.294916,-7.280525,40000,17:44:35 30 Jun 2022
2022,Senate,_lite,6/29/22,.6128,.3872,50.39485,49.60515,51,49,55,54,46,45,7.62e+07,8.33e+07,6.92e+07,-.0943642,6.716415,-6.976042,40000,22:11:20 29 Jun 2022
2022,Senate,_lite,6/26/22,.5765,.4235,50.11153,49.88847,50,50,55,54,46,45,7.58e+07,8.29e+07,6.88e+07,-.0482864,6.766439,-6.82349,40000,11:19:59 29 Jun 2022
2022,Senate,_lite,6/25/22,.57515,.42485,50.08985,49.91015,50,50,55,55,45,45,7.58e+07,8.29e+07,6.89e+07,-.0489426,6.788134,-7.004936,40000,12:03:45 29 Jun 2022
2022,Senate,_lite,6/24/22,.579,.421,50.11635,49.88365,50,50,55,54,46,45,7.58e+07,8.29e+07,6.88e+07,-.0498199,6.879044,-6.969931,40000,11:37:32 29 Jun 2022
2022,Senate,_lite,6/22/22,.5544,.4456,49.95918,50.04082,50,50,55,55,45,45,7.58e+07,8.29e+07,6.88e+07,-.3723564,6.536509,-7.310183,40000,11:38:08 29 Jun 2022
2022,Senate,_lite,6/21/22,.526125,.473875,49.66555,50.33445,50,50,54,55,45,46,7.58e+07,8.29e+07,6.88e+07,-.8957901,6.089867,-7.762733,40000,12:22:16 29 Jun 2022
2022,Senate,_lite,6/19/22,.51495,.48505,49.57685,50.42315,50,50,54,55,45,46,7.56e+07,8.27e+07,6.87e+07,-1.045761,5.891922,-8.02216,40000,11:56:12 29 Jun 2022
2022,Senate,_lite,6/18/22,.5192,.4808,49.60143,50.39857,50,50,54,55,45,46,7.56e+07,8.26e+07,6.86e+07,-1.04401,5.934839,-7.950581,40000,11:55:44 29 Jun 2022
2022,Senate,_lite,6/17/22,.51405,.48595,49.57905,50.42095,50,50,54,55,45,46,7.56e+07,8.27e+07,6.86e+07,-1.041767,5.90523,-7.949036,40000,12:40:38 29 Jun 2022
2022,Senate,_lite,6/15/22,.5233,.4767,49.67645,50.32355,50,50,54,55,45,46,7.56e+07,8.26e+07,6.86e+07,-.9587631,6.097214,-7.947115,40000,12:14:19 29 Jun 2022
2022,Senate,_lite,6/14/22,.494925,.505075,49.41718,50.58282,49,51,54,55,45,46,7.56e+07,8.27e+07,6.87e+07,-1.293297,5.658386,-8.363998,40000,12:13:39 29 Jun 2022
2022,Senate,_lite,6/13/22,.476625,.523375,49.33015,50.66985,49,51,54,55,45,46,7.52e+07,8.21e+07,6.82e+07,-1.489758,5.476433,-8.519844,40000,12:58:34 29 Jun 2022
2022,Senate,_lite,6/11/22,.468025,.531975,49.20892,50.79108,49,51,54,55,45,46,7.52e+07,8.23e+07,6.82e+07,-1.756775,5.278986,-8.793692,40000,12:32:30 29 Jun 2022
2022,Senate,_lite,6/10/22,.46675,.53325,49.20005,50.79995,49,51,54,55,45,46,7.52e+07,8.22e+07,6.82e+07,-1.752876,5.289989,-8.80925,40000,12:31:52 29 Jun 2022
2022,Senate,_lite,6/9/22,.467175,.532825,49.18975,50.81025,49,51,54,55,45,46,7.52e+07,8.23e+07,6.82e+07,-1.8242,5.111841,-8.879622,40000,13:16:38 29 Jun 2022
2022,Senate,_lite,6/7/22,.47675,.52325,49.2948,50.7052,49,51,54,55,45,46,7.52e+07,8.23e+07,6.83e+07,-1.650486,5.426947,-8.768141,40000,12:50:50 29 Jun 2022
2022,Senate,_lite,6/6/22,.4777,.5223,49.31787,50.68213,49,51,54,55,45,46,7.53e+07,8.24e+07,6.84e+07,-1.637833,5.389006,-8.6749,40000,12:49:58 29 Jun 2022
2022,Senate,_lite,6/5/22,.49025,.50975,49.42012,50.57988,49,51,54,55,45,46,7.53e+07,8.23e+07,6.82e+07,-1.466885,5.589991,-8.481773,40000,13:34:55 29 Jun 2022
2022,Senate,_lite,6/3/22,.49935,.50065,49.50397,50.49603,49,51,54,55,45,46,7.53e+07,8.24e+07,6.83e+07,-1.047646,6.139086,-8.127708,40000,13:08:55 29 Jun 2022
2022,Senate,_lite,6/2/22,.499425,.500575,49.49795,50.50205,49,51,54,55,45,46,7.53e+07,8.24e+07,6.83e+07,-1.026939,6.060925,-8.167215,40000,13:07:40 29 Jun 2022
2022,Senate,_lite,6/1/22,.4971,.5029,49.48765,50.51235,49,51,54,55,45,46,7.53e+07,8.23e+07,6.83e+07,-.9799767,6.116716,-8.091766,40000,13:53:05 29 Jun 2022
2022,Senate,_deluxe,6/30/22,.448025,.551975,49.1664,50.8336,49,51,53,54,46,47,7.62e+07,8.33e+07,6.92e+07,-.5965004,5.881435,-7.131231,40000,17:44:35 30 Jun 2022
2022,Senate,_deluxe,6/29/22,.495475,.504525,49.45985,50.54015,49,51,53,54,46,47,7.62e+07,8.33e+07,6.92e+07,-.2077103,6.349123,-6.810099,40000,22:11:20 29 Jun 2022
