cycle,branch,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,elasticity,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2022,Senate,WI-S3,7/31/22,_lite,Mandela Barnes,"","","","",Ron Johnson,"","","","",.344575,0,0,0,.655425,0,0,,0,0,.344575,.655425,.0535375,1.729365,2305901,2645528,1971772,48.21169,0,0,0,0,51.78831,0,0,0,0,0,0,54.02753,57.58894,0,0,0,0,0,0,0,0,42.41106,45.97247,0,0,0,0,0,0,-3.823667,4351464,1.045602,-3.576614,8.055058,-15.17788,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,WA-S3,7/31/22,_lite,Patty Murray,"","","","",Tiffany Smiley,"","","","",.964475,0,0,0,.035525,0,0,,0,0,.964475,.035525,.0118,.3462344,2538523,2932587,2156163,57.10807,0,0,0,0,42.89193,0,0,0,0,0,0,62.05164,47.84065,0,0,0,0,0,0,0,0,52.15935,37.94836,0,0,0,0,0,0,14.23072,5346645,1.059068,14.21614,24.10328,4.318695,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,VT-S3,7/31/22,_lite,Peter Welch,"","","","",Christina Nolan,"","","",all others,.97625,0,0,0,.02375,0,0,,0,0,.97625,.02375,.0067,1.980757,251949.1,292848.3,212354.3,58.6272,0,0,0,0,35.57,0,0,0,5.802792,0,10.1479,66.19682,43.25275,0,0,0,0,0,0,0,2.169204,50.94035,27.94494,0,0,0,0,0,0,27.77288,503792,1.154198,23.0572,37.59472,8.328875,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,UT-S3,7/31/22,_lite,"","","","",Evan McMullin,Mike Lee,"","","",all others,0,0,0,0,.907875,0,0,,.092125,0,.0687,.9313,.0111875,.8974453,928526.6,1084257,776898.4,0,0,0,0,38.01903,50.40209,0,0,0,11.57887,44.67542,17.82972,0,57.07125,0,0,0,0,0,0,31.17817,5.943806,0,43.68613,0,0,0,0,0,0,-26.29008,2145495,1.112615,-12.38306,-.494318,-24.27882,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,SD-S3,7/31/22,_lite,Brian L. Bengs,"","","",Tamara J. Lesnar,John R. Thune,"","","","",.006525,0,0,0,.9934,0,0,,.000075,0,.00655,.99345,.00065,.1645286,294266.7,343740.1,245384.6,32.83619,0,0,0,3.889455,63.27435,0,0,0,0,7.219054,0,40.45977,70.84593,0,0,0,0,0,0,1.195268,0,25.23242,55.67419,0,0,0,0,0,0,-32.01005,647453,1.026199,-30.43816,-15.57191,-45.17335,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,SC-S3,7/31/22,_lite,Krystle Matthews,"","","",Larry Adams,Tim Scott,"","","","",.020825,0,0,0,.97915,0,0,,.000025,0,.02085,.97915,.0023125,.1083617,1589553,1856731,1328398,36.75971,0,0,0,2.82397,60.41632,0,0,0,0,5.498731,0,43.9598,67.77975,0,0,0,0,0,0,.7425938,0,29.39831,53.19517,0,0,0,0,0,0,-18.29783,3897996,.9588062,-23.6566,-9.578556,-38.07938,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,PA-S3,7/31/22,_lite,John Fetterman,"","","","",Mehmet Oz,"","","",all others,.8654,0,0,0,.1346,0,0,,0,0,.8654,.1346,.0557,.9154417,4532041,5213596,3863376,52.46136,0,0,0,0,44.25991,0,0,0,3.278734,0,6.268596,57.39587,49.26813,0,0,0,0,0,0,0,.9330004,47.45131,39.25148,0,0,0,0,0,0,-2.976064,9742133,.9917317,8.201447,17.66576,-1.348488,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,OR-S3,7/31/22,_lite,Ron Wyden,"","","","",Jo Rae Perkins,"","","",all others,.9568,0,0,0,.0432,0,0,,0,0,.9568,.0432,.011675,.5534658,1571214,1813529,1337513,57.05424,0,0,0,0,37.3858,0,0,0,5.559955,0,9.78661,64.52192,44.91405,0,0,0,0,0,0,0,2.020109,49.55133,29.87866,0,0,0,0,0,0,10.62213,3113975,.979912,19.66844,33.91888,5.273626,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,OK-S3,7/31/22,_lite,Madison Horn,"","","","",James Lankford,"","","",all others,.002,0,0,0,.998,0,0,,0,0,.002,.998,.0001625,.0111454,1085989,1280512,895053.8,30.10829,0,0,0,0,65.70448,0,0,0,4.187237,0,7.738018,37.38457,73.03195,0,0,0,0,0,0,0,1.344574,22.7911,58.33884,0,0,0,0,0,0,-36.97133,2842656,.9560909,-35.59618,-21.38209,-49.79214,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
2022,Senate,OK-S2,7/31/22,_lite,Kendra Horn,"","","","",Markwayne Mullin,"","","",all others,.017125,0,0,0,.982875,0,0,,0,0,.017125,.982875,.0016875,.1189801,1056425,1245964,870051.5,35.48589,0,0,0,0,60.32687,0,0,0,4.187237,0,7.720339,42.82566,67.63901,0,0,0,0,0,0,0,1.346393,28.1982,52.92751,0,0,0,0,0,0,-36.97133,2842656,.9560909,-24.84098,-10.54015,-39.03563,,,,,,,,,,,,,,,,,,,40000,13:41:33 31 Jul 2022
