seat,probD_deluxe,probD_classic,probD_lite,probD_deluxe_minus_lite,probD_deluxe_minus_lite_abs
NY-4,0.82,0.69,0.47,0.35,0.35
TN-5,0.03,0.09,0.33,-0.3,0.3
FL-23,0.91,0.76,0.62,0.29,0.29
FL-2,0.03,0.04,0.32,-0.29,0.29
PA-10,0.03,0.12,0.31,-0.28,0.28
AZ-6,0.07,0.1,0.35,-0.28,0.28
NC-14,0.95,0.86,0.68,0.27,0.27
WA-3,0.01,0.02,0.26,-0.25,0.25
NY-19,0.26,0.17,0.5,-0.24,0.24
NC-11,0.03,0.12,0.27,-0.24,0.24
OR-6,0.76,0.63,0.52,0.24,0.24
FL-27,0.06,0.1,0.28,-0.22,0.22
PA-17,0.67,0.58,0.45,0.22,0.22
IL-8,0.97,0.95,0.75,0.22,0.22
NY-18,0.53,0.4,0.74,-0.21,0.21
RI-2,0.7,0.73,0.49,0.21,0.21
FL-15,0.08,0.15,0.29,-0.21,0.21
OH-13,0.13,0.17,0.33,-0.2,0.2
NY-17,0.86,0.78,0.66,0.2,0.2
PA-12,0.99,0.98,0.79,0.2,0.2
FL-4,0.01,0.03,0.21,-0.2,0.2
OH-1,0.13,0.16,0.33,-0.2,0.2
NY-2,0.04,0.06,0.24,-0.2,0.2
IL-13,0.81,0.83,0.62,0.19,0.19
NJ-5,0.94,0.89,0.75,0.19,0.19
OH-7,0.02,0.06,0.21,-0.19,0.19
IA-1,0.09,0.17,0.27,-0.18,0.18
NY-3,0.68,0.58,0.5,0.18,0.18
CO-7,0.84,0.8,0.66,0.18,0.18
OR-4,0.9,0.84,0.72,0.18,0.18
FL-13,0.01,0.02,0.19,-0.18,0.18
NC-1,0.89,0.84,0.71,0.18,0.18
AZ-4,0.87,0.87,0.7,0.17,0.17
PA-1,0.03,0.09,0.2,-0.17,0.17
IA-3,0.31,0.38,0.48,-0.17,0.17
FL-7,0.03,0.04,0.19,-0.16,0.16
NY-23,0.0,0.01,0.16,-0.16,0.16
ME-2,0.58,0.49,0.74,-0.16,0.16
AZ-1,0.07,0.11,0.23,-0.16,0.16
VA-10,0.95,0.91,0.79,0.16,0.16
FL-28,0.02,0.03,0.18,-0.16,0.16
CA-49,0.9,0.86,0.74,0.16,0.16
TX-28,0.66,0.71,0.81,-0.15,0.15
FL-1,0.0,0.0,0.15,-0.15,0.15
