pollsterName,fteGrade,sponsor,population,partisan,demBefore,repBefore,pollsBefore,marginBefore,demAfter,repAfter,pollsAfter,marginAfter,demChange,repChange,marginChange
Morning Consult,B,,LV,,47.6,44.7,21,2.9,47.8,44.8,57,3.0,0.2,0.1,0.1
Ipsos,B-,Reuters,A,,34.5,34.0,2,0.5,35.9,33.4,12,2.5,1.4,-0.6,2.0
YouGov,B+,Economist,RV,,43.5,39.5,10,4.0,45.2,42.6,9,2.6,1.7,3.1,-1.4
Morning Consult,B,Politico,RV,,45.6,42.0,9,3.6,46.1,42.4,8,3.7,0.5,0.4,0.1
Rasmussen Reports/Pulse Opinion Research,B,Miranda Devine's LAPTOP FROM HELL,LV,,41.0,46.9,8,-5.9,42.5,46.0,8,-3.5,1.5,-0.9,2.4
Big Village,B,,A,,41.2,36.9,5,4.3,41.3,37.5,6,3.8,0.1,0.6,-0.5
Navigator Research,B/C,,RV,,48.0,43.0,1,5.0,48.5,43.5,4,5.0,0.5,0.5,0.0
Data for Progress,B,,LV,,45.0,46.7,3,-1.7,45.5,48.8,4,-3.3,0.5,2.1,-1.6
Trafalgar Group,A-,,LV,REP,41.1,47.5,3,-6.4,43.3,48.9,4,-5.6,2.2,1.4,0.8
YouGov,B+,Yahoo News,RV,,44.5,38.8,4,5.7,45.5,42.2,4,3.3,1.0,3.4,-2.4
Cygnal,B+,,LV,,47.0,46.9,2,0.1,47.0,48.5,3,-1.5,0.0,1.6,-1.6
YouGov,B+,Yahoo News,A,,38.2,32.2,4,6.0,38.3,33.7,3,4.6,0.1,1.5,-1.4
Morning Consult,B,,RV,,45.1,42.0,46,3.1,46.0,41.3,3,4.7,0.9,-0.7,1.6
Hart Research Associates/Public Opinion Strategies,B+,NBC News,RV,,45.0,47.0,1,-2.0,46.7,46.3,3,0.4,1.7,-0.7,2.4
YouGov,B+,CBS News,LV,,44.0,46.0,2,-2.0,45.0,46.7,3,-1.7,1.0,0.7,0.3
NewsNation,Unrated,,RV,,43.0,43.8,2,-0.8,44.1,44.2,2,-0.1,1.1,0.4,0.7
Siena College/The New York Times Upshot,A+,,LV,,43.0,44.0,1,-1.0,46.2,47.3,2,-1.1,3.2,3.3,-0.1
Monmouth University,A,,RV,,49.0,46.0,1,3.0,44.5,48.5,2,-4.0,-4.5,2.5,-7.0
Beacon Research/Shaw & Company Research,A,FOX News,RV,,41.0,42.5,2,-1.5,44.0,41.0,2,3.0,3.0,-1.5,4.5
