pollsterName,fteGrade,sponsor,population,partisan,demBefore,repBefore,pollsBefore,marginBefore,demAfter,repAfter,pollsAfter,marginAfter,demChange,repChange,marginChange
YouGov,B+,Economist,RV,,43.7,39.4,13,4.3,44.0,44.0,1,0.0,0.3,4.6,-4.3
Ipsos,B-,Reuters,A,,35.2,33.6,5,1.6,37.0,32.0,1,5.0,1.8,-1.6,3.4
ABC News/The Washington Post,A+,,LV,,46.0,51.0,1,-5.0,,,0,,,,
Rasmussen Reports/Pulse Opinion Research,B,Miranda Devine's LAPTOP FROM HELL,LV,,41.3,46.2,12,-4.9,,,0,,,,
Morning Consult,B,,LV,,47.7,44.7,43,3.0,,,0,,,,
Morning Consult,B,,RV,,45.1,42.0,46,3.1,,,0,,,,
Morning Consult,B,Politico,RV,,45.7,41.9,11,3.8,,,0,,,,
Navigator Research,B/C,,RV,,48.0,42.5,2,5.5,,,0,,,,
NewsNation,Unrated,,RV,,43.0,43.8,2,-0.8,,,0,,,,
OnMessage,B/C,Senate Opportunity Fund,LV,REP,43.2,46.2,5,-3.0,,,0,,,,
Pew Research Center,B/C,,RV,,44.0,42.0,1,2.0,,,0,,,,
Politico/Harvard T.H. Chan School of Public Health,C,,RV,,47.0,44.0,1,3.0,,,0,,,,
Premise,Unrated,,A,,46.0,34.0,1,12.0,,,0,,,,
Quinnipiac University,A-,,A,,44.5,43.0,2,1.5,,,0,,,,
Quinnipiac University,A-,,RV,,46.0,43.5,2,2.5,,,0,,,,
Rasmussen Reports/Pulse Opinion Research,B,Matt Palumbo's The Man Behind the Curtain: Inside the Secret Network of George Soros,LV,,42.0,47.0,1,-5.0,,,0,,,,
Siena College/The New York Times Upshot,A+,,LV,,43.0,44.0,1,-1.0,,,0,,,,
Monmouth University,A,,A,,50.0,43.0,1,7.0,,,0,,,,
Siena College/The New York Times Upshot,A+,,RV,,43.5,42.0,2,1.5,,,0,,,,
Suffolk University,B+,USA Today,RV,,44.3,40.1,1,4.2,,,0,,,,
SurveyMonkey,C,The 19th,A,,39.0,38.0,1,1.0,,,0,,,,
TIPP Insights,A+,Issues & Insights,RV,,47.0,46.0,2,1.0,,,0,,,,
The Bullfinch Group,Unrated,,A,,44.0,42.0,1,2.0,,,0,,,,
The Bullfinch Group,Unrated,,RV,,45.0,44.0,1,1.0,,,0,,,,
The Winston Group,A/B,Winning the Issues,RV,REP,46.0,43.0,2,3.0,,,0,,,,
Trafalgar Group,A-,,LV,REP,41.4,47.6,4,-6.2,,,0,,,,
WPA Intelligence,B/C,,LV,,47.0,44.0,1,3.0,,,0,,,,
