pollsterName,fteGrade,sponsor,population,partisan,demBefore,repBefore,pollsBefore,marginBefore,demAfter,repAfter,pollsAfter,marginAfter,demChange,repChange,marginChange
Morning Consult,B,,LV,,47.9,44.5,56,3.4,47.7,45.1,15,2.6,-0.2,0.6,-0.8
Morning Consult,B,Politico,RV,,45.7,42.1,13,3.6,45.5,43.0,2,2.5,-0.2,0.9,-1.1
YouGov,B+,Economist,RV,,43.8,40.1,15,3.7,45.6,43.8,2,1.8,1.8,3.7,-1.9
YouGov,B+,Economist,LV,,46.5,46.5,2,0.0,47.0,46.5,2,0.5,0.5,0.0,0.5
Rasmussen Reports/Pulse Opinion Research,B,Miranda Devine's LAPTOP FROM HELL,LV,,41.5,46.2,13,-4.7,42.0,47.5,2,-5.5,0.5,1.3,-0.8
Ipsos,B-,Reuters,A,,35.1,33.1,7,2.0,36.0,33.5,2,2.5,0.9,0.4,0.5
Emerson College,A-,,RV,,43.5,45.0,3,-1.5,40.7,45.6,1,-4.9,-2.8,0.6,-3.4
Monmouth University,A,,RV,,47.0,46.5,2,0.5,44.0,50.0,1,-6.0,-3.0,3.5,-6.5
Monmouth University,A,,A,,47.0,45.0,2,2.0,45.0,49.0,1,-4.0,-2.0,4.0,-6.0
Pew Research Center,B/C,,RV,,44.0,42.0,1,2.0,41.0,40.0,1,1.0,-3.0,-2.0,-1.0
McLaughlin & Associates,C/D,,LV,,44.5,46.5,2,-2.0,43.0,49.0,1,-6.0,-1.5,2.5,-4.0
Siena College/The New York Times Upshot,A+,,LV,,45.0,45.0,2,0.0,45.5,48.5,1,-3.0,0.5,3.5,-3.0
Siena College/The New York Times Upshot,A+,,RV,,43.5,42.0,2,1.5,45.6,46.2,1,-0.6,2.1,4.2,-2.1
Hart Research Associates/Public Opinion Strategies,B+,CNBC,RV,,42.0,44.0,1,-2.0,46.0,48.0,1,-2.0,4.0,4.0,0.0
Harris Poll,B+,Harvard CAPS,RV,,50.3,49.7,3,0.6,50.0,50.0,1,0.0,-0.3,0.3,-0.6
GQR,B,Democracy Corps,RV,DEM,50.0,47.5,2,2.5,49.0,49.0,1,0.0,-1.0,1.5,-2.5
Hart Research Associates/Public Opinion Strategies,B+,NBC News,RV,,45.5,46.5,2,-1.0,47.0,46.0,1,1.0,1.5,-0.5,2.0
YouGov,B+,Yahoo News,RV,,44.7,39.3,6,5.4,46.0,44.0,1,2.0,1.3,4.7,-3.4
Beacon Research/Shaw & Company Research,A,FOX News,RV,,42.0,42.0,3,0.0,44.0,41.0,1,3.0,2.0,-1.0,3.0
YouGov,B+,Yahoo News,A,,38.3,32.7,6,5.6,38.0,34.0,1,4.0,-0.3,1.3,-1.6
YouGov,B+,CBS News,LV,,44.3,46.0,3,-1.7,45.0,47.0,1,-2.0,0.7,1.0,-0.3
Trafalgar Group,A-,,LV,REP,42.2,48.3,5,-6.1,42.9,48.2,1,-5.3,0.7,-0.1,0.8
Susquehanna Polling & Research,B+,,LV,,43.0,44.0,1,-1.0,,,0,,,,
Rasmussen Reports/Pulse Opinion Research,B,Matt Palumbo's The Man Behind the Curtain: Inside the Secret Network of George Soros,LV,,42.0,47.0,1,-5.0,,,0,,,,
OnMessage,B/C,Senate Opportunity Fund,LV,REP,43.2,46.2,5,-3.0,,,0,,,,
YouGov,B+,FiveThirtyEight | PerryUndem,LV,,49.0,45.0,1,4.0,,,0,,,,
Politico/Harvard T.H. Chan School of Public Health,C,,RV,,47.0,44.0,1,3.0,,,0,,,,
Premise,Unrated,,A,,46.0,34.0,1,12.0,,,0,,,,
Quinnipiac University,A-,,A,,44.5,43.0,2,1.5,,,0,,,,
Quinnipiac University,A-,,RV,,46.0,43.5,2,2.5,,,0,,,,
WPA Intelligence,B/C,,RV,,44.0,42.0,1,2.0,,,0,,,,
TIPP Insights,A+,Issues & Insights,RV,,47.0,46.0,2,1.0,,,0,,,,
SSRS,C,CNN,LV,,50.0,47.0,1,3.0,,,0,,,,
SSRS,C,CNN,RV,,46.0,43.0,1,3.0,,,0,,,,
Selzer & Co.,A+,Grinnell College,LV,,46.0,42.0,1,4.0,,,0,,,,
WPA Intelligence,B/C,,LV,,47.0,44.0,1,3.0,,,0,,,,
The Winston Group,A/B,Winning the Issues,RV,REP,46.0,43.0,2,3.0,,,0,,,,
Suffolk University,B+,USA Today,RV,,44.3,40.1,1,4.2,,,0,,,,
SurveyMonkey,C,The 19th,A,,39.0,38.0,1,1.0,,,0,,,,
NewsNation,Unrated,,RV,,43.6,43.8,3,-0.2,,,0,,,,
The Bullfinch Group,Unrated,,RV,,45.0,44.0,1,1.0,,,0,,,,
The Bullfinch Group,Unrated,,A,,44.0,42.0,1,2.0,,,0,,,,
ABC News/The Washington Post,A+,,LV,,46.0,51.0,1,-5.0,,,0,,,,
McLaughlin & Associates,C/D,Center for Security Policy,LV,REP,43.0,48.2,1,-5.2,,,0,,,,
Navigator Research,B/C,,RV,,48.3,42.7,3,5.6,,,0,,,,
"Fabrizio, Lee & Associates/Impact Research",Unrated,Wall Street Journal,RV,,47.0,44.0,1,3.0,,,0,,,,
Axis Research,Unrated,U.S. Chamber of Commerce,LV,REP,46.0,41.0,1,5.0,,,0,,,,
Big Village,B,,A,,40.9,37.0,7,3.9,,,0,,,,
Big Village,B,,RV,,46.3,41.3,7,5.0,,,0,,,,
Center Street PAC,Unrated,,LV,DEM,41.0,49.0,1,-8.0,,,0,,,,
Center Street PAC,Unrated,,RV,DEM,41.0,45.0,1,-4.0,,,0,,,,
Cor Services,Unrated,Foundation for Government Accountability,LV,,43.0,45.5,2,-2.5,,,0,,,,
Cygnal,B+,,LV,,47.0,46.9,3,0.1,,,0,,,,
Data for Progress,B,,LV,,45.0,46.8,5,-1.8,,,0,,,,
Data for Progress,B,Climate Power 2020,LV,DEM,44.0,48.0,1,-4.0,,,0,,,,
Echelon Insights,B/C,,LV,,48.3,44.0,3,4.3,,,0,,,,
Echelon Insights,B/C,,RV,,49.3,42.0,3,7.3,,,0,,,,
Echelon Insights,B/C,NetChoice,LV,,46.0,46.0,1,0.0,,,0,,,,
Emerson College,A-,,LV,,45.2,44.8,1,0.4,,,0,,,,
Impact Research,B/C,Progressive Policy Institute,LV,,40.0,44.0,1,-4.0,,,0,,,,
Morning Consult,B,,RV,,45.1,42.0,49,3.1,,,0,,,,
InsiderAdvantage,B,Center for American Greatness,LV,,43.8,46.2,4,-2.4,,,0,,,,
Ipsos,B-,FiveThirtyEight,A,,30.3,29.3,3,1.0,,,0,,,,
Ipsos,B-,Survey Center on American Life,A,,34.0,31.0,1,3.0,,,0,,,,
J.L. Partners,B/C,Atlantic Future Forum,A,,45.0,41.0,1,4.0,,,0,,,,
John Zogby Strategies,B/C,,LV,,44.8,42.7,1,2.1,,,0,,,,
Kaiser Family Foundation,Unrated,,RV,,47.0,43.0,1,4.0,,,0,,,,
Lake Research Partners/The Tarrance Group,A/B,Georgetown University Institute of Politics and Public Service,RV,,48.0,46.0,1,2.0,,,0,,,,
Léger,B/C,The Canadian Press,A,,35.0,31.0,1,4.0,,,0,,,,
Marist College,A,NPR,RV,,46.0,44.0,1,2.0,,,0,,,,
Marist College,A,NPR | PBS NewsHour,RV,,48.0,42.5,2,5.5,,,0,,,,
Marquette University Law School,A/B,,A,,45.0,39.0,1,6.0,,,0,,,,
Marquette University Law School,A/B,,RV,,47.0,41.0,1,6.0,,,0,,,,
ABC News/The Washington Post,A+,,RV,,46.0,47.0,1,-1.0,,,0,,,,
Zogby Analytics,B-,,LV,,44.8,44.3,1,0.5,,,0,,,,
