pollsterName,sponsor,fteGrade,methodology,startDate,endDate,population,partisan,dem,rep,cycle,endMonth
Big Village,,B,Online,10/31/2022,11/02/2022,A,,43.1,36.8,2022,11
Big Village,,B,Online,10/31/2022,11/02/2022,LV,,51.5,44.9,2022,11
Ipsos,Reuters,B-,Online,10/31/2022,11/01/2022,A,,37.0,36.0,2022,11
YouGov,Economist,B+,Online,10/29/2022,11/01/2022,RV,,48.0,48.0,2022,11
YouGov,Economist,B+,Online,10/29/2022,11/01/2022,LV,,49.0,49.0,2022,11
Morning Consult,Politico,B,Online,10/28/2022,10/31/2022,RV,,47.0,42.0,2022,10
NewsNation,,Unrated,Online,10/28/2022,10/31/2022,RV,,43.44,44.67,2022,10
YouGov,Yahoo News,B+,Online,10/27/2022,10/31/2022,RV,,46.0,44.0,2022,10
SSRS,CNN,C,Live Phone/Online,10/26/2022,10/31/2022,RV,,46.0,47.0,2022,10
SSRS,CNN,C,Live Phone/Online,10/26/2022,10/31/2022,LV,,47.0,51.0,2022,10
Morning Consult,,B,Online,10/28/2022,10/30/2022,LV,,46.0,46.0,2022,10
Cygnal,,B+,,10/28/2022,10/30/2022,LV,,46.9,50.0,2022,10
Quinnipiac University,,A-,Live Phone,10/26/2022,10/30/2022,A,,44.0,46.0,2022,10
Quinnipiac University,,A-,Live Phone,10/26/2022,10/30/2022,RV,,44.0,48.0,2022,10
Morning Consult,,B,Online,10/27/2022,10/29/2022,LV,,46.0,47.0,2022,10
YouGov,CBS News,B+,Online,10/26/2022,10/28/2022,LV,,45.0,47.0,2022,10
Morning Consult,,B,Online,10/26/2022,10/28/2022,LV,,46.0,46.0,2022,10
Data for Progress,,B,Online,10/26/2022,10/27/2022,LV,,45.0,49.0,2022,10
Tufts University,,B/C,Online,10/25/2022,10/27/2022,LV,,48.0,47.0,2022,10
Trafalgar Group,,A-,IVR/Live Phone/Online/Text,10/25/2022,10/27/2022,LV,REP,42.4,48.2,2022,10
