pollsterName,fteRating,sponsors,population,partisan,demPre,repPre,pollsPre,marginPre,demPost,repPost,pollsPost,marginPost,demChange,repChange,marginChange
Beacon Research/Shaw & Company Research,A,FOX News,RV,,42.4,45.8,5,-3.4,41.0,42.5,2,-1.5,-1.4,-3.3,1.9
Big Village,B,,A,,38.4,37.0,12,1.4,41.2,36.9,5,4.3,2.8,-0.1,2.9
Big Village,B,,RV,,43.8,42.6,12,1.2,46.5,41.4,5,5.1,2.7,-1.2,3.9
Cor Services,Unrated,Foundation for Government Accountability,LV,,42.0,43.0,1,-1.0,42.0,46.0,1,-4.0,0.0,3.0,-3.0
Cygnal,B+,,LV,,45.1,47.6,5,-2.5,47.0,46.9,2,0.1,1.9,-0.7,2.6
Echelon Insights,B/C,,LV,,45.5,45.8,4,-0.3,48.0,44.0,2,4.0,2.5,-1.8,4.3
Echelon Insights,B/C,,RV,,45.8,43.8,6,2.0,49.5,42.0,2,7.5,3.7,-1.8,5.5
Emerson College,A-,,RV,,41.5,47.2,4,-5.7,43.5,45.0,3,-1.5,2.0,-2.2,4.2
"Fabrizio, Lee & Associates/Impact Research",Unrated,Wall Street Journal,RV,,41.0,46.0,1,-5.0,47.0,44.0,1,3.0,6.0,-2.0,8.0
Harris Poll,B+,Harvard CAPS,RV,,48.4,51.6,5,-3.2,50.0,50.0,2,0.0,1.6,-1.6,3.2
Hart Research Associates/Public Opinion Strategies,B+,NBC News,RV,,46.5,46.0,2,0.5,45.0,47.0,1,-2.0,-1.5,1.0,-2.5
InsiderAdvantage,B,Center for American Greatness,LV,,40.3,49.3,3,-9.0,43.0,47.5,2,-4.5,2.7,-1.8,4.5
Ipsos,B-,FiveThirtyEight,A,,27.0,29.0,2,-2.0,29.5,29.5,2,0.0,2.5,0.5,2.0
Ipsos,B-,Reuters,A,,40.5,35.5,2,5.0,34.5,34.0,2,0.5,-6.0,-1.5,-4.5
McLaughlin & Associates,C/D,,LV,,43.8,47.8,5,-4.0,45.0,45.0,1,0.0,1.2,-2.8,4.0
Monmouth University,A,,A,,44.3,47.7,3,-3.4,50.0,43.0,1,7.0,5.7,-4.7,10.4
Monmouth University,A,,RV,,44.0,49.0,3,-5.0,49.0,46.0,1,3.0,5.0,-3.0,8.0
Morning Consult,B,Politico,RV,,42.8,42.0,24,0.8,45.6,42.0,8,3.6,2.8,0.0,2.8
NewsNation,Unrated,,RV,,40.2,42.5,6,-2.3,43.0,43.8,2,-0.8,2.8,1.3,1.5
OnMessage,B/C,Senate Opportunity Fund,LV,REP,43.4,45.7,7,-2.3,43.0,46.3,3,-3.3,-0.4,0.6,-1.0
Pew Research Center,B/C,,RV,,43.0,43.0,1,0.0,44.0,42.0,1,2.0,1.0,-1.0,2.0
Quinnipiac University,A-,,A,,41.7,44.5,6,-2.8,44.5,43.0,2,1.5,2.8,-1.5,4.3
Quinnipiac University,A-,,RV,,42.7,45.8,6,-3.1,46.0,43.5,2,2.5,3.3,-2.3,5.6
Rasmussen Reports/Pulse Opinion Research,B,,LV,,39.0,48.0,1,-9.0,42.0,47.0,1,-5.0,3.0,-1.0,4.0
Rasmussen Reports/Pulse Opinion Research,B,Miranda Devine's LAPTOP FROM HELL,LV,,39.4,48.0,9,-8.6,41.0,46.9,8,-5.9,1.6,-1.1,2.7
Suffolk University,B+,USA Today,RV,,39.4,38.4,2,1.0,44.3,40.1,1,4.2,4.9,1.7,3.2
The Bullfinch Group,Unrated,,A,,40.5,40.5,2,0.0,44.0,42.0,1,2.0,3.5,1.5,2.0
The Bullfinch Group,Unrated,,RV,,42.5,42.0,2,0.5,45.0,44.0,1,1.0,2.5,2.0,0.5
The Winston Group,A/B,Winning the Issues,RV,REP,44.0,45.0,5,-1.0,47.0,41.0,1,6.0,3.0,-4.0,7.0
Trafalgar Group,A-,,LV,REP,40.5,51.0,3,-10.5,41.1,47.5,3,-6.4,0.6,-3.5,4.1
YouGov,B+,Economist,RV,,43.1,40.5,25,2.6,43.5,39.5,10,4.0,0.4,-1.0,1.4
YouGov,B+,Yahoo News,A,,36.9,33.9,7,3.0,38.0,32.3,3,5.7,1.1,-1.6,2.7
YouGov,B+,Yahoo News,RV,,42.9,39.1,7,3.8,44.3,39.0,3,5.3,1.4,-0.1,1.5
Zogby Analytics,B-,,LV,,43.7,41.9,1,1.8,44.8,44.3,1,0.5,1.1,2.4,-1.3
