pollsterName,pollsterRating,sponsors,population,partisan,demPre,repPre,pollsPre,marginPre,demPost,repPost,pollsPost,marginPost,demChange,repChange,marginChange
Big Village,B,,a,,40.5,37.3,3,3.2,42.2,36.4,2,5.8,1.7,-0.9,2.6
Big Village,B,,rv,,45.9,41.5,3,4.4,47.2,41.3,2,5.9,1.3,-0.2,1.5
Cygnal,B+,,lv,,46.7,47.3,1,-0.6,47.2,46.5,1,0.7,0.5,-0.8,1.3
Echelon Insights,B/C,,lv,,48.0,44.0,1,4.0,48.0,44.0,1,4.0,0.0,0.0,0.0
Echelon Insights,B/C,,rv,,49.0,42.0,1,7.0,50.0,42.0,1,8.0,1.0,0.0,1.0
Emerson College,A-,,rv,,43.5,45.2,2,-1.7,43.6,44.6,1,-1.0,0.1,-0.6,0.7
Morning Consult,B,Politico,rv,,45.0,42.0,6,3.0,46.7,42.0,3,4.7,1.7,0.0,1.7
NewsNation,Unrated,,rv,,43.7,42.5,1,1.2,42.2,45.0,1,-2.8,-1.5,2.5,-4.0
OnMessage,B/C,Senate Opportunity Fund,lv,REP,43.0,46.0,2,-3.0,43.0,47.0,1,-4.0,0.0,1.0,-1.0
Quinnipiac University,A-,,a,,43.0,44.0,1,-1.0,46.0,42.0,1,4.0,3.0,-2.0,5.0
Quinnipiac University,A-,,rv,,45.0,44.0,1,1.0,47.0,43.0,1,4.0,2.0,-1.0,3.0
Rasmussen Reports/Pulse Opinion Research,B,Miranda Devine's LAPTOP FROM HELL,lv,,40.4,47.2,5,-6.8,41.5,46.5,2,-5.0,1.1,-0.7,1.8
Trafalgar Group,A-,,lv,REP,40.2,48.3,1,-8.1,41.6,46.9,1,-5.3,1.4,-1.4,2.8
YouGov,B+,CBS News,lv,,43.0,45.0,1,-2.0,45.0,47.0,1,-2.0,2.0,2.0,0.0
YouGov,B+,Economist,rv,,42.6,40.4,6,2.2,45.1,38.3,3,6.8,2.5,-2.1,4.6
YouGov,B+,Yahoo News,a,,38.3,32.0,3,6.3,38.0,33.0,1,5.0,-0.3,1.0,-1.3
YouGov,B+,Yahoo News,rv,,44.3,38.7,3,5.6,45.0,39.0,1,6.0,0.7,0.3,0.4
