pollsterName,fteGrade,sponsors,partisan,startDate,endDate,demRV,repRV,marginRV,demLV,repLV,marginLV,marginDiff
Echelon Insights,B/C,,,08/19/2022,08/22/2022,50.0,42.0,8.0,48.0,44.0,4.0,-4.0
Echelon Insights,B/C,,,07/15/2022,07/18/2022,49.0,42.0,7.0,48.0,44.0,4.0,-3.0
Siena College/The New York Times Upshot,A+,,,07/05/2022,07/07/2022,41.0,40.0,1.0,43.0,44.0,-1.0,-2.0
Center Street PAC,Unrated,,,06/30/2022,06/30/2022,41.0,45.0,-4.0,41.0,49.0,-8.0,-4.0
Echelon Insights,B/C,,,06/17/2022,06/20/2022,47.0,45.0,2.0,47.0,46.0,1.0,-1.0
Echelon Insights,B/C,,,05/20/2022,05/23/2022,46.0,43.0,3.0,45.0,45.0,0.0,-3.0
Echelon Insights,B/C,,,04/18/2022,04/20/2022,46.0,46.0,0.0,45.0,47.0,-2.0,-2.0
Echelon Insights,B/C,,,03/18/2022,03/21/2022,45.0,44.0,1.0,45.0,45.0,0.0,-1.0
Echelon Insights,B/C,,,11/12/2021,11/18/2021,46.0,44.0,2.0,49.0,44.0,5.0,3.0
Echelon Insights,B/C,,,10/15/2021,10/19/2021,46.0,42.0,4.0,46.0,45.0,1.0,-3.0
Echelon Insights,B/C,,,09/17/2021,09/23/2021,47.0,40.0,7.0,50.0,40.0,10.0,3.0
Change Research,B-,CNBC,,08/30/2021,09/02/2021,46.0,45.0,1.0,49.0,45.0,4.0,3.0
Redfield & Wilton Strategies,B/C,,,05/08/2021,05/09/2021,41.0,36.0,5.0,44.0,37.0,7.0,2.0
